targetTitle,targetIndex,topTitle,similarity
통명산,31,"관음사, 천태암, 도림사, 성륜사, 태안사계곡, 청계동계곡, 도림사계곡, 섬진강기차마을, 섬진강기차마을, 용산재, 압록상상스쿨, 압록유원지","[(315, 0.42858107234279824), (316, 0.42858107234279824), (362, 0.42858107234279824), (364, 0.42858107234279824), (293, 0.4232069160922918), (305, 0.4232069160922918), (306, 0.4232069160922918), (43, 0.4225991796345783), (44, 0.4225991796345783), (317, 0.41960205286071817), (162, 0.4119296562612199), (163, 0.40825989500323057)]"
조태일시문학기념관,32,"윤동주유고보존가옥, 광양기독교100주년기념관, 매천황현선생생가, 김대중 노벨평화상 기념관, 일강 김철선생 기념관, 광주백범기념관, 광주학생독립운동기념관, 용아생가, 이병주문학관, 칠곡호국평화기념관, 통명산, 인천상륙작전기념관","[(94, 0.5107903152921737), (137, 0.5107903152921737), (331, 0.5107903152921737), (387, 0.5024279823745336), (208, 0.49949749522038495), (75, 0.45536610618517465), (76, 0.45536610618517465), (127, 0.45536610618517465), (388, 0.393075613545654), (192, 0.3854893028673786), (31, 0.3849501500800133), (228, 0.3761680990417273)]"
우치공원 동물원,33,"수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원","[(72, 0.13780303878046135), (78, 0.13780303878046135), (117, 0.13780303878046135), (1, 0.13417438987956387), (9, 0.13417438987956387), (14, 0.13417438987956387), (39, 0.13417438987956387), (49, 0.13417438987956387), (50, 0.13417438987956387), (62, 0.13417438987956387), (77, 0.13417438987956387), (116, 0.13417438987956387)]"
녹색에너지체험관광주전남지역본부,34,"수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원","[(72, 0.17340625526962156), (78, 0.17340625526962156), (117, 0.17340625526962156), (1, 0.16884009748992773), (9, 0.16884009748992773), (14, 0.16884009748992773), (39, 0.16884009748992773), (49, 0.16884009748992773), (50, 0.16884009748992773), (62, 0.16884009748992773), (77, 0.16884009748992773), (116, 0.16884009748992773)]"
광주시민의숲,35,"쌍암공원, 풍암생활체육공원, 5.18자유공원, 배알도수변공원, 5.18기념공원, 빛고을농촌테마공원, 순천만국가정원, 암남공원, 마한문화공원, 정양레포츠공원, 미사경정공원, 안성맞춤랜드","[(10, 0.5907377361635716), (22, 0.5907377361635716), (38, 0.5907377361635716), (106, 0.42057974399969755), (15, 0.4140567360096207), (65, 0.4140567360096207), (87, 0.40888797165294916), (207, 0.4055576764720913), (30, 0.40124313255846733), (277, 0.3997336049399045), (251, 0.3934543893255229), (396, 0.3934543893255229)]"
풍암정,36,"월봉서원, 광주향교, 포충사, 무양서원, 월봉서원, 광양마로산성, 예림서원, 밀양향교, 광주향교, 사선대, 서빙고동 부군당, 수완호수공원","[(6, 0.6290451450205677), (157, 0.6290451450205676), (69, 0.6172192747089202), (126, 0.6172192747089202), (382, 0.5574186952656343), (329, 0.4546195430869446), (349, 0.43700901058062), (350, 0.43700901058062), (309, 0.4326637393474936), (96, 0.415969363481007), (379, 0.3810070193149042), (72, 0.19862901358999377)]"
중외공원문화산책로,37,"국립아시아문화전당어린이문화원, 광주사직공원전망타워, 정강원자연재배단지, 수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지","[(68, 0.5485164028740458), (148, 0.5485164028740458), (181, 0.34458211412800566), (72, 0.215719121823993), (78, 0.215719121823993), (117, 0.215719121823993), (1, 0.210038775721058), (9, 0.210038775721058), (14, 0.210038775721058), (39, 0.210038775721058), (49, 0.210038775721058), (50, 0.210038775721058)]"
5.18자유공원,38,"쌍암공원, 풍암생활체육공원, 광주시민의숲, 배알도수변공원, 5.18기념공원, 빛고을농촌테마공원, 순천만국가정원, 암남공원, 마한문화공원, 정양레포츠공원, 미사경정공원, 안성맞춤랜드","[(10, 0.5907377361635716), (22, 0.5907377361635716), (35, 0.5907377361635716), (106, 0.42057974399969755), (15, 0.4140567360096207), (65, 0.4140567360096207), (87, 0.40888797165294916), (207, 0.4055576764720913), (30, 0.40124313255846733), (277, 0.3997336049399045), (251, 0.3934543893255229), (396, 0.3934543893255229)]"
전평제근린공원,39,"수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 문화근린공원, 용봉초록습지, 송산근린공원, 산동교친수공원, 역사문화공원, 운남동근린공원","[(72, 0.4784897873780888), (78, 0.4784897873780888), (117, 0.4784897873780888), (1, 0.46589012733847035), (9, 0.46589012733847035), (14, 0.46589012733847035), (49, 0.46589012733847035), (50, 0.46589012733847035), (62, 0.46589012733847035), (77, 0.46589012733847035), (116, 0.46589012733847035), (118, 0.46589012733847035)]"
으능정이문화의거리,40,"뿌리공원, 뿌리공원, 수완호수공원, 푸른길공원, 푸른길공원, 동림유적근린공원, 양산호수공원, 평화공원, 전평제근린공원, 문화근린공원, 용봉초록습지, 송산근린공원","[(365, 0.36156041262965866), (102, 0.3199325816399059), (72, 0.0514712463116701), (78, 0.0514712463116701), (117, 0.0514712463116701), (1, 0.05011589825106444), (9, 0.05011589825106444), (14, 0.05011589825106444), (39, 0.05011589825106444), (49, 0.05011589825106444), (50, 0.05011589825106444), (62, 0.05011589825106444)]"
