title,openDate,finalDate,info,image,categoryName,category
"김나영 연말 콘서트, Na On The Voice: Sognando",2023.12.02,2023.12.03,예스24 라이브홀 (구. 악스코리아),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228242_231020_125052.jpg,콘서트,공연 전시
김경호 락 크리스마스 콘서트,2023.12.23,2023.12.23,건국대학교 새천년관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228241_231020_124335.gif,콘서트,공연 전시
"대관령음악제 4色 콘서트, 더뉴바로크컴퍼니",2023.11.26,2023.11.26,유알컬쳐파크,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228239_231020_123337.gif,서양음악(클래식),공연 전시
"제38회 예술공감, 피스 오브 클래식: GUESS WHAT?! 숨어있는 음악을 맞춰봐!",2023.11.21,2023.11.21,을숙도문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228238_231020_123153.jpg,서양음악(클래식),공연 전시
엘리펀트 송 [대학로],2023.11.17,2024.02.25,예스24 스테이지(구. DCF대명문화공장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228235_231020_121754.gif,연극,공연 전시
"누군가의 플레이리스트 Track71, 4BOUT 단독콘서트",2023.11.18,2023.11.18,클럽온에어,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228233_231020_115936.jfif,콘서트,공연 전시
노엘 갤러거 하이 플라잉 버즈 스페셜 나잇 [서울],2023.11.25,2023.11.25,명화라이브홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228232_231020_115059.gif,콘서트,공연 전시
난타 [부산],2023.12.13,2023.12.17,소향씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228231_231020_113921.gif,뮤지컬,공연 전시
크리스마스 캐럴 [인천],2023.11.17,2023.11.19,부평아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228226_231020_110756.gif,뮤지컬,공연 전시
신데렐라 [함양],2023.11.18,2023.11.18,함양문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228223_231020_105058.gif,뮤지컬,공연 전시
파리나무십자가 소년합창단 내한공연 [창원],2023.12.06,2023.12.06,성산아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228222_231020_104646.jpg,서양음악(클래식),공연 전시
"김영후 빅밴드 단독공연: 범인류적 유산, 그리고 우리가 맞이할 미래",2023.12.10,2023.12.10,소월아트홀(성동문화회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228221_231020_104618.gif,콘서트,공연 전시
와일드 와일드: 애프터파티,2023.12.01,2024.03.31,명보아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228220_231020_104110.gif,뮤지컬,공연 전시
"스트릿 우먼 파이터2, ON THE STAGE [인천]",2023.12.23,2023.12.23,송도컨벤시아,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228217_231020_102644.gif,대중무용,공연 전시
"스트릿 우먼 파이터2, ON THE STAGE [부산]",2023.12.09,2023.12.09,부산사직실내체육관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228214_231020_101952.gif,대중무용,공연 전시
제5회 아시아 컨템포러리 발레 축제,2023.11.17,2023.11.18,광명시민회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228213_231020_101909.jpg,무용,공연 전시
